table_id,caption,printed_pages,pdf_pages_1based,evidence_files,authority,status
3.9,Cobertura empírica y ancho promedio de los intervalos PI90 del modelo final.,86,94,08_TABLES/canonical_thesis_evidence/Table_3_9/page_printed_086.png | 08_TABLES/canonical_thesis_evidence/Table_3_9/page_layout_text.txt,corrected_thesis_pdf,canonical_page_evidence
3.10,Resumen del diagnóstico residual del modelo final por zona y horizonte.,89,97,08_TABLES/canonical_thesis_evidence/Table_3_10/page_printed_089.png | 08_TABLES/canonical_thesis_evidence/Table_3_10/page_layout_text.txt,corrected_thesis_pdf,canonical_page_evidence
3.11,Síntesis metodológica de las pruebas complementarias aplicadas al modelo final.,92,100,08_TABLES/canonical_thesis_evidence/Table_3_11/page_printed_092.png | 08_TABLES/canonical_thesis_evidence/Table_3_11/page_layout_text.txt,corrected_thesis_pdf,canonical_page_evidence
4.1,Función de los componentes utilizados en la proyección energética regional.,100-101,108-109,08_TABLES/canonical_thesis_evidence/Table_4_1/page_printed_100.png | 08_TABLES/canonical_thesis_evidence/Table_4_1/page_printed_101.png | 08_TABLES/canonical_thesis_evidence/Table_4_1/page_layout_text.txt,corrected_thesis_pdf,canonical_page_evidence
4.2,Comparación del FNRR con métricas clásicas de dispersión.,103,111,08_TABLES/canonical_thesis_evidence/Table_4_2/page_printed_103.png | 08_TABLES/canonical_thesis_evidence/Table_4_2/page_layout_text.txt,corrected_thesis_pdf,canonical_page_evidence
4.3,Niveles de interpretación energética del Capítulo 4.,104-105,112-113,08_TABLES/canonical_thesis_evidence/Table_4_3/page_printed_104.png | 08_TABLES/canonical_thesis_evidence/Table_4_3/page_printed_105.png | 08_TABLES/canonical_thesis_evidence/Table_4_3/page_layout_text.txt,corrected_thesis_pdf,canonical_page_evidence
4.4,Tratamiento definitivo de los escenarios energéticos.,106,114,08_TABLES/canonical_thesis_evidence/Table_4_4/page_printed_106.png | 08_TABLES/canonical_thesis_evidence/Table_4_4/page_layout_text.txt,corrected_thesis_pdf,canonical_page_evidence
4.5,"Síntesis histórica anualizada por zona, 2017–2022.",109,117,08_TABLES/canonical_thesis_evidence/Table_4_5/page_printed_109.png | 08_TABLES/canonical_thesis_evidence/Table_4_5/page_layout_text.txt,corrected_thesis_pdf,canonical_page_evidence
4.6,"Síntesis del escenario central proyectado por zona, 2023–2028.",110,118,08_TABLES/canonical_thesis_evidence/Table_4_6/page_printed_110.png | 08_TABLES/canonical_thesis_evidence/Table_4_6/page_layout_text.txt,corrected_thesis_pdf,canonical_page_evidence
4.7,"Síntesis energética-estructural auditada por zona, 2017–2028.",111,119,08_TABLES/canonical_thesis_evidence/Table_4_7/page_printed_111.png | 08_TABLES/canonical_thesis_evidence/Table_4_7/page_layout_text.txt,corrected_thesis_pdf,canonical_page_evidence
4.8,Escenario energético regional central para 2028.,114-115,122-123,08_TABLES/canonical_thesis_evidence/Table_4_8/page_printed_114.png | 08_TABLES/canonical_thesis_evidence/Table_4_8/page_printed_115.png | 08_TABLES/canonical_thesis_evidence/Table_4_8/page_layout_text.txt,corrected_thesis_pdf,canonical_page_evidence
5.1,"Correspondencia entre objetivos, evidencia y conclusión de cierre.",119,127,08_TABLES/canonical_thesis_evidence/Table_5_1/page_printed_119.png | 08_TABLES/canonical_thesis_evidence/Table_5_1/page_layout_text.txt,corrected_thesis_pdf,canonical_page_evidence
5.2,"Síntesis energética-estructural auditada, 2017–2028.",124,132,08_TABLES/canonical_thesis_evidence/Table_5_2/page_printed_124.png | 08_TABLES/canonical_thesis_evidence/Table_5_2/page_layout_text.txt,corrected_thesis_pdf,canonical_page_evidence
